,birdies,bogeys,double_bogeys,eagles,first_name,last_name,pars,position,round,round_score,start_date,strokes,tournament
0,1,0,0,0,Sergio,Garcia,17,1.0,1,-1,2017-04-06,71,Masters Tournament
1,6,3,0,0,Sergio,Garcia,9,1.0,2,-3,2017-04-06,69,Masters Tournament
2,4,2,0,0,Sergio,Garcia,12,1.0,3,-2,2017-04-06,70,Masters Tournament
3,3,2,0,1,Sergio,Garcia,12,1.0,4,-3,2017-04-06,69,Masters Tournament
4,5,4,0,0,Justin,Rose,9,2.0,1,-1,2017-04-06,71,Masters Tournament
5,4,4,0,0,Justin,Rose,10,2.0,2,0,2017-04-06,72,Masters Tournament
6,7,2,0,0,Justin,Rose,9,2.0,3,-5,2017-04-06,67,Masters Tournament
7,5,2,0,0,Justin,Rose,11,2.0,4,-3,2017-04-06,69,Masters Tournament
8,2,4,0,0,Charl,Schwartzel,12,3.0,1,2,2017-04-06,74,Masters Tournament
9,5,5,0,0,Charl,Schwartzel,8,3.0,2,0,2017-04-06,72,Masters Tournament
10,3,1,0,1,Charl,Schwartzel,13,3.0,3,-4,2017-04-06,68,Masters Tournament
11,6,2,0,0,Charl,Schwartzel,10,3.0,4,-4,2017-04-06,68,Masters Tournament
12,6,2,2,0,Thomas,Pieters,8,4.0,1,0,2017-04-06,72,Masters Tournament
13,3,1,0,1,Thomas,Pieters,13,4.0,2,-4,2017-04-06,68,Masters Tournament
14,3,4,1,0,Thomas,Pieters,10,4.0,3,3,2017-04-06,75,Masters Tournament
15,6,2,0,0,Thomas,Pieters,10,4.0,4,-4,2017-04-06,68,Masters Tournament
16,3,3,0,0,Matt,Kuchar,12,4.0,1,0,2017-04-06,72,Masters Tournament
17,2,3,0,0,Matt,Kuchar,13,4.0,2,1,2017-04-06,73,Masters Tournament
18,3,2,0,0,Matt,Kuchar,13,4.0,3,-1,2017-04-06,71,Masters Tournament
19,6,3,0,1,Matt,Kuchar,8,4.0,4,-5,2017-04-06,67,Masters Tournament
20,3,3,0,0,Paul,Casey,12,6.0,1,0,2017-04-06,72,Masters Tournament
21,3,6,0,0,Paul,Casey,9,6.0,2,3,2017-04-06,75,Masters Tournament
22,4,1,0,0,Paul,Casey,13,6.0,3,-3,2017-04-06,69,Masters Tournament
23,6,2,0,0,Paul,Casey,10,6.0,4,-4,2017-04-06,68,Masters Tournament
24,3,3,0,0,Rory,McIlroy,12,7.0,1,0,2017-04-06,72,Masters Tournament
25,4,5,0,0,Rory,McIlroy,9,7.0,2,1,2017-04-06,73,Masters Tournament
26,4,1,1,0,Rory,McIlroy,12,7.0,3,-1,2017-04-06,71,Masters Tournament
27,4,1,0,0,Rory,McIlroy,13,7.0,4,-3,2017-04-06,69,Masters Tournament
28,4,3,0,0,Kevin,Chappell,11,7.0,1,-1,2017-04-06,71,Masters Tournament
29,2,6,0,0,Kevin,Chappell,10,7.0,2,4,2017-04-06,76,Masters Tournament
30,3,3,0,1,Kevin,Chappell,11,7.0,3,-2,2017-04-06,70,Masters Tournament
31,6,2,0,0,Kevin,Chappell,10,7.0,4,-4,2017-04-06,68,Masters Tournament
32,1,3,0,0,Ryan,Moore,14,9.0,1,2,2017-04-06,74,Masters Tournament
33,3,0,0,0,Ryan,Moore,15,9.0,2,-3,2017-04-06,69,Masters Tournament
34,6,3,0,0,Ryan,Moore,9,9.0,3,-3,2017-04-06,69,Masters Tournament
35,4,4,1,0,Ryan,Moore,9,9.0,4,2,2017-04-06,74,Masters Tournament
36,3,6,0,0,Adam,Scott,9,9.0,1,3,2017-04-06,75,Masters Tournament
37,7,2,1,0,Adam,Scott,8,9.0,2,-3,2017-04-06,69,Masters Tournament
38,3,0,0,0,Adam,Scott,15,9.0,3,-3,2017-04-06,69,Masters Tournament
39,3,4,0,0,Adam,Scott,11,9.0,4,1,2017-04-06,73,Masters Tournament
40,1,3,1,0,Hideki,Matsuyama,13,11.0,1,4,2017-04-06,76,Masters Tournament
41,5,1,1,0,Hideki,Matsuyama,11,11.0,2,-2,2017-04-06,70,Masters Tournament
42,1,3,1,1,Hideki,Matsuyama,12,11.0,3,2,2017-04-06,74,Masters Tournament
43,7,2,0,0,Hideki,Matsuyama,9,11.0,4,-5,2017-04-06,67,Masters Tournament
44,3,3,1,0,Brooks,Koepka,11,11.0,1,2,2017-04-06,74,Masters Tournament
45,4,5,0,0,Brooks,Koepka,9,11.0,2,1,2017-04-06,73,Masters Tournament
46,5,4,0,0,Brooks,Koepka,9,11.0,3,-1,2017-04-06,71,Masters Tournament
47,7,2,1,0,Brooks,Koepka,8,11.0,4,-3,2017-04-06,69,Masters Tournament
48,5,4,0,0,Russell,Henley,9,11.0,1,-1,2017-04-06,71,Masters Tournament
49,1,5,0,0,Russell,Henley,12,11.0,2,4,2017-04-06,76,Masters Tournament
50,2,1,0,0,Russell,Henley,15,11.0,3,-1,2017-04-06,71,Masters Tournament
51,4,3,0,1,Russell,Henley,10,11.0,4,-3,2017-04-06,69,Masters Tournament
52,3,2,0,0,Jordan,Spieth,12,11.0,1,3,2017-04-06,75,Masters Tournament
53,5,2,0,0,Jordan,Spieth,11,11.0,2,-3,2017-04-06,69,Masters Tournament
54,5,1,0,0,Jordan,Spieth,12,11.0,3,-4,2017-04-06,68,Masters Tournament
55,4,5,1,0,Jordan,Spieth,8,11.0,4,3,2017-04-06,75,Masters Tournament
56,4,3,1,0,Rickie,Fowler,10,11.0,1,1,2017-04-06,73,Masters Tournament
57,4,1,0,1,Rickie,Fowler,12,11.0,2,-5,2017-04-06,67,Masters Tournament
58,4,3,0,0,Rickie,Fowler,11,11.0,3,-1,2017-04-06,71,Masters Tournament
59,3,7,0,0,Rickie,Fowler,8,11.0,4,4,2017-04-06,76,Masters Tournament
60,2,3,1,0,Steve,Stricker,12,16.0,1,3,2017-04-06,75,Masters Tournament
61,4,5,0,0,Steve,Stricker,9,16.0,2,1,2017-04-06,73,Masters Tournament
62,4,4,0,0,Steve,Stricker,10,16.0,3,0,2017-04-06,72,Masters Tournament
63,4,2,0,1,Steve,Stricker,11,16.0,4,-4,2017-04-06,68,Masters Tournament
64,1,7,1,1,Martin,Kaymer,8,16.0,1,6,2017-04-06,78,Masters Tournament
65,4,0,0,0,Martin,Kaymer,14,16.0,2,-4,2017-04-06,68,Masters Tournament
66,3,3,1,0,Martin,Kaymer,11,16.0,3,2,2017-04-06,74,Masters Tournament
67,8,4,0,0,Martin,Kaymer,6,16.0,4,-4,2017-04-06,68,Masters Tournament
68,6,4,0,0,Lee,Westwood,8,18.0,1,-2,2017-04-06,70,Masters Tournament
69,3,8,0,0,Lee,Westwood,7,18.0,2,5,2017-04-06,77,Masters Tournament
70,6,2,0,0,Lee,Westwood,10,18.0,3,-4,2017-04-06,68,Masters Tournament
71,2,4,0,0,Lee,Westwood,12,18.0,4,2,2017-04-06,74,Masters Tournament
72,4,6,0,0,Pat,Perez,8,18.0,1,2,2017-04-06,74,Masters Tournament
73,2,4,0,0,Pat,Perez,12,18.0,2,2,2017-04-06,74,Masters Tournament
74,5,3,0,0,Pat,Perez,10,18.0,3,-2,2017-04-06,70,Masters Tournament
75,4,3,0,0,Pat,Perez,11,18.0,4,-1,2017-04-06,71,Masters Tournament
76,2,3,0,0,Fred,Couples,13,18.0,1,1,2017-04-06,73,Masters Tournament
77,6,2,1,0,Fred,Couples,9,18.0,2,-2,2017-04-06,70,Masters Tournament
78,3,3,1,0,Fred,Couples,11,18.0,3,2,2017-04-06,74,Masters Tournament
79,4,4,0,0,Fred,Couples,10,18.0,4,0,2017-04-06,72,Masters Tournament
80,2,6,0,0,Jimmy,Walker,10,18.0,1,4,2017-04-06,76,Masters Tournament
81,4,1,1,0,Jimmy,Walker,12,18.0,2,-1,2017-04-06,71,Masters Tournament
82,4,2,0,0,Jimmy,Walker,12,18.0,3,-2,2017-04-06,70,Masters Tournament
83,2,2,0,0,Jimmy,Walker,14,18.0,4,0,2017-04-06,72,Masters Tournament
84,4,1,0,0,William,McGirt,13,22.0,1,-3,2017-04-06,69,Masters Tournament
85,2,3,0,0,William,McGirt,13,22.0,2,1,2017-04-06,73,Masters Tournament
86,2,4,0,0,William,McGirt,12,22.0,3,2,2017-04-06,74,Masters Tournament
87,3,3,1,0,William,McGirt,11,22.0,4,2,2017-04-06,74,Masters Tournament
88,2,3,0,0,Justin,Thomas,13,22.0,1,1,2017-04-06,73,Masters Tournament
89,2,4,1,0,Justin,Thomas,11,22.0,2,4,2017-04-06,76,Masters Tournament
90,3,2,0,0,Justin,Thomas,13,22.0,3,-1,2017-04-06,71,Masters Tournament
91,2,2,0,1,Justin,Thomas,13,22.0,4,-2,2017-04-06,70,Masters Tournament
92,2,2,1,0,Jason,Day,13,22.0,1,2,2017-04-06,74,Masters Tournament
93,3,5,1,0,Jason,Day,9,22.0,2,4,2017-04-06,76,Masters Tournament
94,6,3,0,0,Jason,Day,9,22.0,3,-3,2017-04-06,69,Masters Tournament
95,4,3,0,0,Jason,Day,11,22.0,4,-1,2017-04-06,71,Masters Tournament
96,9,2,0,0,Charley,Hoffman,7,22.0,1,-7,2017-04-06,65,Masters Tournament
97,2,5,0,0,Charley,Hoffman,11,22.0,2,3,2017-04-06,75,Masters Tournament
